time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2024-02-20T00:00:00.0000000Z,2024-02-19T00:00:00.2010000Z,2024-02-19T23:59:59.7070000Z,0.557,0.5679,0.5538,0.5626,360150956.0,196209
2024-02-21T00:00:00.0000000Z,2024-02-20T00:00:00.1330000Z,2024-02-20T23:59:59.7680000Z,0.5626,0.5751,0.543,0.5622,565677771.0,340255
2024-02-22T00:00:00.0000000Z,2024-02-21T00:00:00.1370000Z,2024-02-21T23:59:59.6900000Z,0.5622,0.5629,0.5326,0.5491,443537294.0,253472
2024-02-23T00:00:00.0000000Z,2024-02-22T00:00:00.1450000Z,2024-02-22T23:59:57.8870000Z,0.549,0.5517,0.5366,0.541,363824441.0,196071
2024-02-24T00:00:00.0000000Z,2024-02-23T00:00:02.1280000Z,2024-02-23T23:59:59.9520000Z,0.541,0.5437,0.5251,0.5342,406923513.0,206771
2024-02-25T00:00:00.0000000Z,2024-02-24T00:00:00.2300000Z,2024-02-24T23:59:57.7240000Z,0.5342,0.5481,0.5313,0.545,195723165.0,117000
2024-02-26T00:00:00.0000000Z,2024-02-25T00:00:00.3410000Z,2024-02-25T23:59:59.7000000Z,0.5449,0.5489,0.542,0.5425,188823399.0,108064
2024-02-27T00:00:00.0000000Z,2024-02-26T00:00:00.1300000Z,2024-02-26T23:59:59.9820000Z,0.5424,0.5528,0.5288,0.5506,434598190.0,219616
2024-02-28T00:00:00.0000000Z,2024-02-27T00:00:00.1290000Z,2024-02-27T23:59:59.2060000Z,0.5506,0.5976,0.5476,0.5861,848088975.0,480566
2024-02-29T00:00:00.0000000Z,2024-02-28T00:00:00.2250000Z,2024-02-28T23:59:59.3400000Z,0.5862,0.6059,0.53,0.575,950329272.0,606280
2024-03-01T00:00:00.0000000Z,2024-02-29T00:00:00.1480000Z,2024-02-29T23:59:59.8930000Z,0.5749,0.6237,0.5669,0.5867,1229101761.0,734255
2024-03-02T00:00:00.0000000Z,2024-03-01T00:00:00.2520000Z,2024-03-01T23:59:59.6090000Z,0.5868,0.6034,0.5829,0.6013,545382645.0,345843
2024-03-03T00:00:00.0000000Z,2024-03-02T00:00:00.2950000Z,2024-03-02T23:59:57.7750000Z,0.6013,0.6501,0.5993,0.6442,869847388.0,612257
2024-03-04T00:00:00.0000000Z,2024-03-03T00:00:00.3070000Z,2024-03-03T23:59:59.8800000Z,0.6442,0.6446,0.59,0.6271,598421681.0,437662
2024-03-05T00:00:00.0000000Z,2024-03-04T00:00:00.1530000Z,2024-03-04T23:59:59.5830000Z,0.6271,0.666,0.615,0.6477,768666392.0,549732
2024-03-06T00:00:00.0000000Z,2024-03-05T00:00:00.1260000Z,2024-03-05T23:59:59.4970000Z,0.6476,0.6685,0.543,0.5912,774827183.0,540139
2024-03-07T00:00:00.0000000Z,2024-03-06T00:00:00.2610000Z,2024-03-06T23:59:59.2970000Z,0.5913,0.624,0.5755,0.6121,454285827.0,310671
2024-03-08T00:00:00.0000000Z,2024-03-07T00:00:01.5070000Z,2024-03-07T23:59:59.6140000Z,0.6121,0.6389,0.6064,0.627,597262074.0,381489
2024-03-09T00:00:00.0000000Z,2024-03-08T00:00:00.0790000Z,2024-03-08T23:59:59.9840000Z,0.6271,0.6338,0.6011,0.62,511510460.0,344734
2024-03-10T00:00:00.0000000Z,2024-03-09T00:00:00.0390000Z,2024-03-09T23:59:59.0710000Z,0.62,0.6323,0.6158,0.6197,322063122.0,218596
2024-03-11T00:00:00.0000000Z,2024-03-10T00:00:00.1670000Z,2024-03-10T23:59:58.0570000Z,0.6198,0.6278,0.5965,0.608,248358496.0,164071
2024-03-12T00:00:00.0000000Z,2024-03-11T00:00:00.0340000Z,2024-03-11T23:59:47.7690000Z,0.608,0.744,0.583,0.7234,800582571.0,556488
2024-03-13T00:00:00.0000000Z,2024-03-12T00:00:00.7380000Z,2024-03-12T23:59:59.9490000Z,0.723,0.7303,0.6633,0.688,676423819.0,521355
2024-03-14T00:00:00.0000000Z,2024-03-13T00:00:00.2430000Z,2024-03-13T23:59:58.5750000Z,0.688,0.7026,0.6703,0.6891,468680320.0,332937
2024-03-15T00:00:00.0000000Z,2024-03-14T00:00:00.0450000Z,2024-03-14T23:59:59.9310000Z,0.6891,0.7077,0.6412,0.669,730066139.0,557242
2024-03-16T00:00:00.0000000Z,2024-03-15T00:00:00.9670000Z,2024-03-15T23:59:59.8370000Z,0.669,0.6759,0.596,0.6342,1044182971.0,785690
2024-03-17T00:00:00.0000000Z,2024-03-16T00:00:00.2650000Z,2024-03-16T23:59:59.8820000Z,0.6341,0.6479,0.5915,0.6031,616895652.0,440220
2024-03-18T00:00:00.0000000Z,2024-03-17T00:00:00.2320000Z,2024-03-17T23:59:59.9520000Z,0.603,0.6249,0.5869,0.6191,520417354.0,344847
2024-03-19T00:00:00.0000000Z,2024-03-18T00:00:00.5890000Z,2024-03-18T23:59:59.8220000Z,0.6191,0.6686,0.5946,0.6453,856326801.0,577525
2024-03-20T00:00:00.0000000Z,2024-03-19T00:00:00.0010000Z,2024-03-19T23:59:59.8170000Z,0.6453,0.6489,0.5712,0.5845,1022958537.0,774620
2024-03-21T00:00:00.0000000Z,2024-03-20T00:00:00.3030000Z,2024-03-20T23:59:58.9450000Z,0.5845,0.6187,0.5685,0.6107,780122936.0,518250
2024-03-22T00:00:00.0000000Z,2024-03-21T00:00:00.2220000Z,2024-03-21T23:59:59.9150000Z,0.6108,0.6546,0.5972,0.6404,766871575.0,528303
2024-03-23T00:00:00.0000000Z,2024-03-22T00:00:00.6800000Z,2024-03-22T23:59:59.9940000Z,0.6403,0.6454,0.5996,0.6115,510075581.0,363781
2024-03-24T00:00:00.0000000Z,2024-03-23T00:00:00.8600000Z,2024-03-23T23:59:59.9160000Z,0.6115,0.6329,0.6032,0.6167,278010220.0,207243
2024-03-25T00:00:00.0000000Z,2024-03-24T00:00:00.1090000Z,2024-03-24T23:59:58.5980000Z,0.6168,0.6358,0.6133,0.6325,304510595.0,225697
2024-03-26T00:00:00.0000000Z,2024-03-25T00:00:00.6890000Z,2024-03-25T23:59:59.9770000Z,0.6326,0.6629,0.6263,0.6406,594787201.0,377337
2024-03-27T00:00:00.0000000Z,2024-03-26T00:00:00.7950000Z,2024-03-26T23:59:58.6800000Z,0.6405,0.653,0.625,0.6317,464671203.0,288284
2024-03-28T00:00:00.0000000Z,2024-03-27T00:00:01.0160000Z,2024-03-27T23:59:56.1450000Z,0.6317,0.6349,0.6055,0.6118,575641242.0,333140
2024-03-29T00:00:00.0000000Z,2024-03-28T00:00:00.3340000Z,2024-03-28T23:59:55.6310000Z,0.6119,0.6378,0.6033,0.6244,500240527.0,290613
2024-03-30T00:00:00.0000000Z,2024-03-29T00:00:00.6020000Z,2024-03-29T23:59:59.9310000Z,0.6243,0.6455,0.6087,0.6301,532675386.0,326389
2024-03-31T00:00:00.0000000Z,2024-03-30T00:00:00.9210000Z,2024-03-30T23:59:59.6900000Z,0.63,0.6372,0.6178,0.6212,274987922.0,187264
2024-04-01T00:00:00.0000000Z,2024-03-31T00:00:00.0060000Z,2024-03-31T23:59:56.8820000Z,0.6211,0.6301,0.6204,0.6292,181972969.0,124119
2024-04-02T00:00:00.0000000Z,2024-04-01T00:00:00.1710000Z,2024-04-01T23:59:59.9920000Z,0.6292,0.6336,0.5947,0.611,538995752.0,309163
2024-04-03T00:00:00.0000000Z,2024-04-02T00:00:01.2410000Z,2024-04-02T23:59:59.7130000Z,0.611,0.6185,0.579,0.5854,591301959.0,334969
2024-04-04T00:00:00.0000000Z,2024-04-03T00:00:00.5550000Z,2024-04-03T23:59:59.4680000Z,0.5854,0.593,0.5663,0.5742,461249237.0,246947
2024-04-05T00:00:00.0000000Z,2024-04-04T00:00:01.2020000Z,2024-04-04T23:59:59.6590000Z,0.5741,0.6176,0.5623,0.5935,631221155.0,353172
2024-04-06T00:00:00.0000000Z,2024-04-05T00:00:00.0260000Z,2024-04-05T23:59:59.9900000Z,0.5934,0.5939,0.569,0.5871,365678827.0,201436
2024-04-07T00:00:00.0000000Z,2024-04-06T00:00:05.3040000Z,2024-04-06T23:59:58.9610000Z,0.587,0.5988,0.5852,0.593,147732859.0,93097
2024-04-08T00:00:00.0000000Z,2024-04-07T00:00:03.3390000Z,2024-04-07T23:59:59.3270000Z,0.593,0.6028,0.5894,0.5944,195994035.0,118382
2024-04-09T00:00:00.0000000Z,2024-04-08T00:00:02.6950000Z,2024-04-08T23:59:59.9880000Z,0.5945,0.6265,0.5881,0.6147,467655012.0,273281
2024-04-10T00:00:00.0000000Z,2024-04-09T00:00:01.1150000Z,2024-04-09T23:59:57.8420000Z,0.6146,0.6431,0.6012,0.6141,521325583.0,325814
2024-04-11T00:00:00.0000000Z,2024-04-10T00:00:00.6900000Z,2024-04-10T23:59:59.1460000Z,0.614,0.6203,0.5928,0.6172,364451689.0,252006
2024-04-12T00:00:00.0000000Z,2024-04-11T00:00:04.1410000Z,2024-04-11T23:59:55.8530000Z,0.6171,0.6214,0.6029,0.6086,286233946.0,195059
2024-04-13T00:00:00.0000000Z,2024-04-12T00:00:00.2550000Z,2024-04-12T23:59:59.8820000Z,0.6085,0.6159,0.509,0.5468,541109902.0,344438
2024-04-14T00:00:00.0000000Z,2024-04-13T00:00:00.0080000Z,2024-04-13T23:59:58.6270000Z,0.5468,0.5491,0.4274,0.4788,739916762.0,499039
2024-04-15T00:00:00.0000000Z,2024-04-14T00:00:00.3860000Z,2024-04-14T23:59:59.9550000Z,0.4788,0.5073,0.4637,0.5033,602108365.0,378436
2024-04-16T00:00:00.0000000Z,2024-04-15T00:00:00.4180000Z,2024-04-15T23:59:53.6660000Z,0.5034,0.5189,0.4813,0.4977,538998450.0,326898
2024-04-17T00:00:00.0000000Z,2024-04-16T00:00:13.7620000Z,2024-04-16T23:59:59.9830000Z,0.4975,0.5021,0.4754,0.4965,488234257.0,318166
2024-04-18T00:00:00.0000000Z,2024-04-17T00:00:00.4200000Z,2024-04-17T23:59:59.2600000Z,0.4965,0.5081,0.4715,0.4951,495524429.0,330032
2024-04-19T00:00:00.0000000Z,2024-04-18T00:00:00.4040000Z,2024-04-18T23:59:59.8470000Z,0.4951,0.5057,0.4856,0.5025,407032566.0,248485
2024-04-20T00:00:00.0000000Z,2024-04-19T00:00:00.4150000Z,2024-04-19T23:59:59.9870000Z,0.5026,0.5108,0.4665,0.503,649242935.0,363318
2024-04-21T00:00:00.0000000Z,2024-04-20T00:00:00.4960000Z,2024-04-20T23:59:59.8440000Z,0.503,0.53,0.4981,0.5288,323152171.0,204385
2024-04-22T00:00:00.0000000Z,2024-04-21T00:00:08.4150000Z,2024-04-21T23:59:57.9780000Z,0.5288,0.5367,0.5183,0.5246,209308861.0,155750
2024-04-23T00:00:00.0000000Z,2024-04-22T00:00:01.6930000Z,2024-04-22T23:59:59.8920000Z,0.5246,0.5715,0.5221,0.556,479952303.0,272182
2024-04-24T00:00:00.0000000Z,2024-04-23T00:00:00.4190000Z,2024-04-23T23:59:57.5740000Z,0.556,0.5576,0.5415,0.5445,394556041.0,218750
2024-04-25T00:00:00.0000000Z,2024-04-24T00:00:01.2250000Z,2024-04-24T23:59:58.2140000Z,0.5445,0.5519,0.5212,0.5275,437750382.0,233320
2024-04-26T00:00:00.0000000Z,2024-04-25T00:00:00.2330000Z,2024-04-25T23:59:58.3560000Z,0.5276,0.5327,0.5137,0.5254,358100461.0,197973
2024-04-27T00:00:00.0000000Z,2024-04-26T00:00:02.4670000Z,2024-04-26T23:59:59.9890000Z,0.5254,0.5361,0.5143,0.5261,354085810.0,186864
2024-04-28T00:00:00.0000000Z,2024-04-27T00:00:04.2750000Z,2024-04-27T23:59:56.3680000Z,0.5261,0.5265,0.508,0.5179,193167117.0,114227
2024-04-29T00:00:00.0000000Z,2024-04-28T00:00:00.1490000Z,2024-04-28T23:59:54.0120000Z,0.5178,0.5253,0.5085,0.5103,135739034.0,94195
2024-04-30T00:00:00.0000000Z,2024-04-29T00:00:00.4570000Z,2024-04-29T23:59:57.3510000Z,0.5104,0.5175,0.4986,0.5151,347289187.0,163136
2024-05-01T00:00:00.0000000Z,2024-04-30T00:00:01.3110000Z,2024-04-30T23:59:58.9780000Z,0.515,0.5198,0.4875,0.5006,395553299.0,207095
2024-05-02T00:00:00.0000000Z,2024-05-01T00:00:00.0140000Z,2024-05-01T23:59:59.9540000Z,0.5006,0.5207,0.4782,0.5175,401515596.0,198479
2024-05-03T00:00:00.0000000Z,2024-05-02T00:00:00.0260000Z,2024-05-02T23:59:58.5260000Z,0.5175,0.5245,0.5067,0.518,250002738.0,117692
2024-05-04T00:00:00.0000000Z,2024-05-03T00:00:01.7310000Z,2024-05-03T23:59:59.8910000Z,0.518,0.5367,0.5145,0.5317,356831419.0,169531
2024-05-05T00:00:00.0000000Z,2024-05-04T00:00:00.0060000Z,2024-05-04T23:59:58.2040000Z,0.5317,0.541,0.5272,0.5302,156587640.0,102945
2024-05-06T00:00:00.0000000Z,2024-05-05T00:00:44.7190000Z,2024-05-05T23:59:50.6510000Z,0.5305,0.5334,0.524,0.5296,109462120.0,83278
2024-05-07T00:00:00.0000000Z,2024-05-06T00:00:04.4860000Z,2024-05-06T23:59:25.0970000Z,0.5295,0.5703,0.5247,0.5401,441921067.0,257529
2024-05-08T00:00:00.0000000Z,2024-05-07T00:00:17.6290000Z,2024-05-07T23:59:59.8960000Z,0.5398,0.5443,0.5217,0.5245,228278513.0,117633
2024-05-09T00:00:00.0000000Z,2024-05-08T00:00:00.6490000Z,2024-05-08T23:59:59.0440000Z,0.5244,0.53,0.5153,0.5171,244772706.0,121098
2024-05-10T00:00:00.0000000Z,2024-05-09T00:00:21.1800000Z,2024-05-09T23:59:42.2610000Z,0.5171,0.5238,0.5088,0.5209,163961455.0,75978
2024-05-11T00:00:00.0000000Z,2024-05-10T00:00:12.3360000Z,2024-05-10T23:59:59.9800000Z,0.5208,0.5208,0.4973,0.5022,215741583.0,111361
2024-05-12T00:00:00.0000000Z,2024-05-11T00:00:00.9580000Z,2024-05-11T23:59:59.1320000Z,0.5022,0.5079,0.5005,0.5059,62855021.0,42299
2024-05-13T00:00:00.0000000Z,2024-05-12T00:00:00.9460000Z,2024-05-12T23:59:25.4590000Z,0.5059,0.5088,0.4957,0.4993,51080705.0,33210
2024-05-14T00:00:00.0000000Z,2024-05-13T00:00:00.4480000Z,2024-05-13T23:59:59.9820000Z,0.4993,0.5121,0.4866,0.5053,223929886.0,123721
2024-05-15T00:00:00.0000000Z,2024-05-14T00:00:00.3850000Z,2024-05-14T23:59:59.9810000Z,0.5052,0.5132,0.4972,0.5002,224730320.0,103113
2024-05-16T00:00:00.0000000Z,2024-05-15T00:00:03.5650000Z,2024-05-15T23:59:58.8510000Z,0.5002,0.5196,0.4967,0.5188,197726990.0,82141
2024-05-17T00:00:00.0000000Z,2024-05-16T00:00:00.0010000Z,2024-05-16T23:59:57.9810000Z,0.5188,0.5227,0.5123,0.5157,245387789.0,103843
2024-05-18T00:00:00.0000000Z,2024-05-17T00:00:02.2710000Z,2024-05-17T23:59:59.9030000Z,0.5158,0.5292,0.5136,0.5234,214828142.0,88890
2024-05-19T00:00:00.0000000Z,2024-05-18T00:00:00.0050000Z,2024-05-18T23:58:55.1910000Z,0.5235,0.5256,0.5186,0.5212,53241841.0,34584
2024-05-20T00:00:00.0000000Z,2024-05-19T00:00:22.4150000Z,2024-05-19T23:59:59.3580000Z,0.5214,0.5236,0.5063,0.5096,66251017.0,42021
2024-05-21T00:00:00.0000000Z,2024-05-20T00:00:00.4310000Z,2024-05-20T23:59:59.9480000Z,0.5096,0.538,0.5064,0.5377,292480084.0,138818
2024-05-22T00:00:00.0000000Z,2024-05-21T00:00:00.3630000Z,2024-05-21T23:59:58.2340000Z,0.5377,0.5571,0.5319,0.537,351642028.0,177568
2024-05-23T00:00:00.0000000Z,2024-05-22T00:00:07.0630000Z,2024-05-22T23:59:30.6630000Z,0.537,0.5383,0.5224,0.5269,195902821.0,107348
2024-05-24T00:00:00.0000000Z,2024-05-23T00:00:33.1310000Z,2024-05-23T23:59:55.9890000Z,0.5269,0.5488,0.5027,0.5289,512814395.0,292364
2024-05-25T00:00:00.0000000Z,2024-05-24T00:00:00.0570000Z,2024-05-24T23:59:59.9670000Z,0.5288,0.5375,0.5168,0.536,322847631.0,170089
2024-05-26T00:00:00.0000000Z,2024-05-25T00:00:00.7820000Z,2024-05-25T23:59:57.4750000Z,0.5359,0.5426,0.5318,0.5416,132376204.0,101486
2024-05-27T00:00:00.0000000Z,2024-05-26T00:00:01.4130000Z,2024-05-26T23:59:53.9370000Z,0.5416,0.542,0.5255,0.5283,108766435.0,79087
2024-05-28T00:00:00.0000000Z,2024-05-27T00:00:00.7240000Z,2024-05-27T23:59:59.9880000Z,0.5283,0.5409,0.5236,0.534,244966542.0,143546
2024-05-29T00:00:00.0000000Z,2024-05-28T00:00:00.0020000Z,2024-05-28T23:59:56.9870000Z,0.5339,0.5355,0.5211,0.5287,282095152.0,150751
2024-05-30T00:00:00.0000000Z,2024-05-29T00:00:01.4150000Z,2024-05-29T23:59:51.2450000Z,0.5286,0.5334,0.52,0.5238,316767700.0,162131
2024-05-31T00:00:00.0000000Z,2024-05-30T00:00:03.8120000Z,2024-05-30T23:59:56.1710000Z,0.5238,0.5278,0.5127,0.5186,348165958.0,150459
2024-06-01T00:00:00.0000000Z,2024-05-31T00:00:00.7600000Z,2024-05-31T23:59:59.8060000Z,0.5185,0.5259,0.5119,0.5176,304414294.0,133429
2024-06-02T00:00:00.0000000Z,2024-06-01T00:00:00.0050000Z,2024-06-01T23:59:54.5770000Z,0.5176,0.5219,0.5174,0.5187,88294554.0,52691
2024-06-03T00:00:00.0000000Z,2024-06-02T00:00:02.5280000Z,2024-06-02T23:59:59.5230000Z,0.5187,0.5209,0.508,0.5135,126154700.0,72402
2024-06-04T00:00:00.0000000Z,2024-06-03T00:00:03.5120000Z,2024-06-03T23:59:59.8120000Z,0.5135,0.5232,0.5118,0.5199,236898048.0,109455
2024-06-05T00:00:00.0000000Z,2024-06-04T00:00:02.2670000Z,2024-06-04T23:59:59.9290000Z,0.5199,0.5303,0.5182,0.5257,249385139.0,114164
